Name,accountpassword,enabled,givenName,sn,employeeId,mail,manager,company,department,c,co,countryCode,title,employeetype,description,msDS-cloudExtensionAttribute1,msDS-cloudExtensionAttribute2,msDS-cloudExtensionAttribute3,msDS-cloudExtensionAttribute4,msDS-cloudExtensionAttribute5,msDS-cloudExtensionAttribute6,msDS-cloudExtensionAttribute7,msDS-cloudExtensionAttribute8,msDS-cloudExtensionAttribute9,msDS-cloudExtensionAttribute10,msDS-cloudExtensionAttribute11,msDS-cloudExtensionAttribute12,msDS-cloudExtensionAttribute13,msDS-cloudExtensionAttribute14,msDS-cloudExtensionAttribute15,msDS-cloudExtensionAttribute16,msDS-cloudExtensionAttribute17,msDS-cloudExtensionAttribute18,msDS-cloudExtensionAttribute19,msDS-cloudExtensionAttribute20
test1,P@ssw0rd1,TRUE,test1,test1,20232,test1test1@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept5,au,Australia,36,title7,type6,auto-generated,hi,hi,hi,20181014000000.0Z,20191216111100.0Z,bye,bye,bye,bye,65107,36304,a,b,c,d,e,f,g,h,i
test2,P@ssw0rd2,TRUE,test2,test2,10713,test2test2@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept1,au,Australia,36,title2,type7,auto-generated,hi,hi,hi,20210929000000.0Z,20220301095504.0Z,bye,bye,bye,bye,21034,17000,a,b,c,d,e,f,g,h,i
test3,P@ssw0rd3,TRUE,test3,test3,70398,test3test3@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept8,au,Australia,36,title1,type2,auto-generated,hi,hi,hi,20200908000000.0Z,20230603114121.0Z,bye,bye,bye,bye,28874,65740,a,b,c,d,e,f,g,h,i
test4,P@ssw0rd4,TRUE,test4,test4,61209,test4test4@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept5,au,Australia,36,title6,type9,auto-generated,hi,hi,hi,20230627000000.0Z,20231009093842.0Z,bye,bye,bye,bye,50184,89122,a,b,c,d,e,f,g,h,i
test5,P@ssw0rd5,TRUE,test5,test5,62247,test5test5@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept1,au,Australia,36,title5,type8,auto-generated,hi,hi,hi,20191213000000.0Z,20210923122317.0Z,bye,bye,bye,bye,16389,40467,a,b,c,d,e,f,g,h,i
test6,P@ssw0rd6,TRUE,test6,test6,24791,test6test6@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept6,au,Australia,36,title2,type7,auto-generated,hi,hi,hi,20161104000000.0Z,20190109125647.0Z,bye,bye,bye,bye,83101,31798,a,b,c,d,e,f,g,h,i
test7,P@ssw0rd7,TRUE,test7,test7,22894,test7test7@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept5,au,Australia,36,title6,type6,auto-generated,hi,hi,hi,20170202000000.0Z,20200630081345.0Z,bye,bye,bye,bye,86012,89963,a,b,c,d,e,f,g,h,i
test8,P@ssw0rd8,TRUE,test8,test8,82067,test8test8@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept7,au,Australia,36,title4,type2,auto-generated,hi,hi,hi,20240328000000.0Z,20240414153955.0Z,bye,bye,bye,bye,37521,1246,a,b,c,d,e,f,g,h,i
test9,P@ssw0rd9,TRUE,test9,test9,76246,test9test9@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept0,au,Australia,36,title1,type3,auto-generated,hi,hi,hi,20230405000000.0Z,20240418145427.0Z,bye,bye,bye,bye,60296,14965,a,b,c,d,e,f,g,h,i
test10,P@ssw0rd10,TRUE,test10,test10,11455,test10test10@toll.com,"CN=test01,OU=aad-connect-ou,DC=yp,DC=toll",toll,dept6,au,Australia,36,title8,type8,auto-generated,hi,hi,hi,20160410000000.0Z,20170116094606.0Z,bye,bye,bye,bye,10990,82111,a,b,c,d,e,f,g,h,i
